Species,Weekly Opening Price,High,Low,Weekly Close,Net Change,Open Interest,O.I Change,Weekly Volume,Volume,Turnover,Week Start,Week End,Extra_Column_13
cu2406,80020,80380,79410,79580,-1620,30940,-4310,79750,16930,675123.80,2024-06-10,2024-06-16,
cu2407,80620,80680,79600,79870,-1660,173378,-3452,80090,91327,3657570.66,2024-06-10,2024-06-16,
cu2408,80330,80890,79780,80070,-1650,147488,-1723,80310,60556,2431780.53,2024-06-10,2024-06-16,
cu2409,80700,81020,79900,80180,-1600,93078,-891,80420,43176,1736189.14,2024-06-10,2024-06-16,
cu2410,80760,81130,80020,80290,-1590,38283,-99,80550,10716,431602.87,2024-06-10,2024-06-16,
cu2411,81000,81190,80080,80330,-1580,17387,-46,80570,4709,189716.97,2024-06-10,2024-06-16,
cu2412,80730,81250,80100,80280,-1640,25117,33,80560,5714,230181.14,2024-06-10,2024-06-16,
cu2501,80400,81270,80080,80320,-1630,13128,-139,80630,2195,88500.64,2024-06-10,2024-06-16,
cu2502,81130,81260,80100,80240,-1670,6385,-153,80550,971,39109.77,2024-06-10,2024-06-16,
cu2503,80600,81130,80000,80160,-1670,6460,-53,80570,717,28886.69,2024-06-10,2024-06-16,
cu2504,80760,81050,79900,80120,-1590,1704,-66,80250,401,16091.37,2024-06-10,2024-06-16,
cu2505,80600,81120,79900,80090,-1590,1819,-58,80520,321,12924.23,2024-06-10,2024-06-16,
bc2406,71000,71000,71000,71000,-1250,4820,0,71000,10,355.00,2024-06-10,2024-06-16,
bc2407,71860,71860,70830,71070,-1590,5896,-86,71340,6195,221006.47,2024-06-10,2024-06-16,
bc2408,71410,72070,71010,71250,-1540,6876,-24,71490,4649,166193.78,2024-06-10,2024-06-16,
bc2409,71840,71910,71300,71350,-1440,182,14,71720,35,1255.20,2024-06-10,2024-06-16,
bc2410,72190,72190,71350,71420,-1590,55,0,71550,7,250.43,2024-06-10,2024-06-16,
al2406,21100,21275,20785,20880,-300,18345,-2000,20875,5185,54121.83,2024-06-10,2024-06-16,
al2407,21020,21025,20820,20905,-315,150384,-9883,20920,148974,1558531.63,2024-06-10,2024-06-16,
al2408,21050,21100,20900,20965,-330,224845,338,20985,108509,1138746.22,2024-06-10,2024-06-16,
al2409,21150,21150,20960,21000,-330,101489,2799,21045,36286,381823.60,2024-06-10,2024-06-16,
al2410,21245,21245,20985,21025,-325,35321,704,21065,8408,88570.92,2024-06-10,2024-06-16,
al2411,21345,21345,20995,21045,-310,23269,45,21085,3107,32762.22,2024-06-10,2024-06-16,
al2412,21100,21190,21005,21060,-310,19394,56,21070,1788,18838.58,2024-06-10,2024-06-16,
al2501,21065,21200,21025,21060,-320,8519,179,21095,851,8976.38,2024-06-10,2024-06-16,
al2502,21075,21180,21050,21130,-235,3410,40,21075,155,1633.59,2024-06-10,2024-06-16,
al2503,21125,21235,21080,21115,-290,1127,13,21145,51,539.25,2024-06-10,2024-06-16,
al2504,21195,21215,21110,21115,-295,664,0,21135,25,264.23,2024-06-10,2024-06-16,
al2505,21210,21625,21070,21140,-265,293,2,21190,87,921.90,2024-06-10,2024-06-16,
zn2406,23795,23995,23610,23640,-480,6935,-225,23700,1370,16236.40,2024-06-10,2024-06-16,
zn2407,23780,23890,23620,23695,-470,66953,-5616,23730,114834,1362649.74,2024-06-10,2024-06-16,
zn2408,23910,23930,23640,23690,-505,76128,1829,23755,79748,947344.87,2024-06-10,2024-06-16,
zn2409,23900,23915,23610,23660,-515,28072,71,23745,23945,284316.76,2024-06-10,2024-06-16,
zn2410,23850,23860,23565,23600,-515,12726,144,23695,5594,66283.66,2024-06-10,2024-06-16,
zn2411,23800,23820,23520,23560,-515,4623,149,23635,1119,13225.41,2024-06-10,2024-06-16,
zn2412,23810,23810,23495,23545,-500,2306,28,23595,560,6606.84,2024-06-10,2024-06-16,
zn2501,23520,23750,23470,23535,-490,879,-5,23625,175,2067.29,2024-06-10,2024-06-16,
