Species,Weekly Opening Price,High,Low,Weekly Close,Net Change,Open Interest,O.I Change,Weekly Volume,Volume,Turnover,Week Start,Week End,Extra_Column_13
cu2406                        ,80020.0,80380.0,79410.0,79580.0,-1620.0,30940,-4310,79750.0,16930,675123.8,2024-06-10,2024-06-16,
cu2407                        ,80620.0,80680.0,79600.0,79870.0,-1660.0,173378,-3452,80090.0,91327,3657570.66,2024-06-10,2024-06-16,
cu2408                        ,80330.0,80890.0,79780.0,80070.0,-1650.0,147488,-1723,80310.0,60556,2431780.53,2024-06-10,2024-06-16,
cu2409                        ,80700.0,81020.0,79900.0,80180.0,-1600.0,93078,-891,80420.0,43176,1736189.14,2024-06-10,2024-06-16,
cu2410                        ,80760.0,81130.0,80020.0,80290.0,-1590.0,38283,-99,80550.0,10716,431602.87,2024-06-10,2024-06-16,
cu2411                        ,81000.0,81190.0,80080.0,80330.0,-1580.0,17387,-46,80570.0,4709,189716.97,2024-06-10,2024-06-16,
cu2412                        ,80730.0,81250.0,80100.0,80280.0,-1640.0,25117,33,80560.0,5714,230181.14,2024-06-10,2024-06-16,
cu2501                        ,80400.0,81270.0,80080.0,80320.0,-1630.0,13128,-139,80630.0,2195,88500.64,2024-06-10,2024-06-16,
cu2502                        ,81130.0,81260.0,80100.0,80240.0,-1670.0,6385,-153,80550.0,971,39109.77,2024-06-10,2024-06-16,
cu2503                        ,80600.0,81130.0,80000.0,80160.0,-1670.0,6460,-53,80570.0,717,28886.69,2024-06-10,2024-06-16,
cu2504                        ,80760.0,81050.0,79900.0,80120.0,-1590.0,1704,-66,80250.0,401,16091.37,2024-06-10,2024-06-16,
cu2505                        ,80600.0,81120.0,79900.0,80090.0,-1590.0,1819,-58,80520.0,321,12924.23,2024-06-10,2024-06-16,
bc2406                        ,71000.0,71000.0,71000.0,71000.0,-1250.0,4820,0,71000.0,10,355.0,2024-06-10,2024-06-16,
bc2407                        ,71860.0,71860.0,70830.0,71070.0,-1590.0,5896,-86,71340.0,6195,221006.47,2024-06-10,2024-06-16,
bc2408                        ,71410.0,72070.0,71010.0,71250.0,-1540.0,6876,-24,71490.0,4649,166193.78,2024-06-10,2024-06-16,
bc2409                        ,71840.0,71910.0,71300.0,71350.0,-1440.0,182,14,71720.0,35,1255.2,2024-06-10,2024-06-16,
bc2410                        ,72190.0,72190.0,71350.0,71420.0,-1590.0,55,0,71550.0,7,250.43,2024-06-10,2024-06-16,
al2406                        ,21100.0,21275.0,20785.0,20880.0,-300.0,18345,-2000,20875.0,5185,54121.83,2024-06-10,2024-06-16,
al2407                        ,21020.0,21025.0,20820.0,20905.0,-315.0,150384,-9883,20920.0,148974,1558531.63,2024-06-10,2024-06-16,
al2408                        ,21050.0,21100.0,20900.0,20965.0,-330.0,224845,338,20985.0,108509,1138746.22,2024-06-10,2024-06-16,
al2409                        ,21150.0,21150.0,20960.0,21000.0,-330.0,101489,2799,21045.0,36286,381823.6,2024-06-10,2024-06-16,
al2410                        ,21245.0,21245.0,20985.0,21025.0,-325.0,35321,704,21065.0,8408,88570.92,2024-06-10,2024-06-16,
al2411                        ,21345.0,21345.0,20995.0,21045.0,-310.0,23269,45,21085.0,3107,32762.22,2024-06-10,2024-06-16,
al2412                        ,21100.0,21190.0,21005.0,21060.0,-310.0,19394,56,21070.0,1788,18838.58,2024-06-10,2024-06-16,
al2501                        ,21065.0,21200.0,21025.0,21060.0,-320.0,8519,179,21095.0,851,8976.38,2024-06-10,2024-06-16,
al2502                        ,21075.0,21180.0,21050.0,21130.0,-235.0,3410,40,21075.0,155,1633.59,2024-06-10,2024-06-16,
al2503                        ,21125.0,21235.0,21080.0,21115.0,-290.0,1127,13,21145.0,51,539.25,2024-06-10,2024-06-16,
al2504                        ,21195.0,21215.0,21110.0,21115.0,-295.0,664,0,21135.0,25,264.23,2024-06-10,2024-06-16,
al2505                        ,21210.0,21625.0,21070.0,21140.0,-265.0,293,2,21190.0,87,921.9,2024-06-10,2024-06-16,
zn2406                        ,23795.0,23995.0,23610.0,23640.0,-480.0,6935,-225,23700.0,1370,16236.4,2024-06-10,2024-06-16,
zn2407                        ,23780.0,23890.0,23620.0,23695.0,-470.0,66953,-5616,23730.0,114834,1362649.74,2024-06-10,2024-06-16,
zn2408                        ,23910.0,23930.0,23640.0,23690.0,-505.0,76128,1829,23755.0,79748,947344.87,2024-06-10,2024-06-16,
zn2409                        ,23900.0,23915.0,23610.0,23660.0,-515.0,28072,71,23745.0,23945,284316.76,2024-06-10,2024-06-16,
zn2410                        ,23850.0,23860.0,23565.0,23600.0,-515.0,12726,144,23695.0,5594,66283.66,2024-06-10,2024-06-16,
zn2411                        ,23800.0,23820.0,23520.0,23560.0,-515.0,4623,149,23635.0,1119,13225.41,2024-06-10,2024-06-16,
zn2412                        ,23810.0,23810.0,23495.0,23545.0,-500.0,2306,28,23595.0,560,6606.84,2024-06-10,2024-06-16,
zn2501                        ,23520.0,23750.0,23470.0,23535.0,-490.0,879,-5,23625.0,175,2067.29,2024-06-10,2024-06-16,
zn2502                        ,23705.0,23705.0,23500.0,23590.0,-370.0,376,4,23605.0,23,271.46,2024-06-10,2024-06-16,
zn2503                        ,23680.0,23720.0,23500.0,23505.0,-555.0,404,-1,23590.0,19,224.12,2024-06-10,2024-06-16,
zn2504                        ,23575.0,23730.0,23485.0,23530.0,-485.0,86,-3,23605.0,15,177.05,2024-06-10,2024-06-16,
zn2505                        ,23625.0,23665.0,23500.0,23500.0,-475.0,66,-1,23615.0,10,118.09,2024-06-10,2024-06-16,
pb2406                        ,18795.0,18830.0,18745.0,18800.0,-220.0,4635,0,18785.0,120,1127.23,2024-06-10,2024-06-16,
pb2407                        ,18790.0,18885.0,18645.0,18705.0,-165.0,40273,-1943,18760.0,40445,379378.78,2024-06-10,2024-06-16,
pb2408                        ,18705.0,18875.0,18635.0,18690.0,-160.0,74566,4841,18750.0,48952,459027.92,2024-06-10,2024-06-16,
pb2409                        ,18650.0,18800.0,18570.0,18635.0,-135.0,24199,1306,18695.0,9636,90084.15,2024-06-10,2024-06-16,
pb2410                        ,18590.0,18725.0,18495.0,18560.0,-125.0,1357,-1,18620.0,308,2867.61,2024-06-10,2024-06-16,
pb2411                        ,18455.0,18645.0,18440.0,18520.0,-110.0,756,12,18530.0,52,481.83,2024-06-10,2024-06-16,
pb2412                        ,17610.0,18560.0,17610.0,18455.0,-105.0,275,-9,18340.0,42,385.15,2024-06-10,2024-06-16,
pb2501                        ,18485.0,18485.0,18410.0,18410.0,-140.0,242,1,18435.0,5,46.09,2024-06-10,2024-06-16,
pb2502                        ,18415.0,18475.0,18415.0,18475.0,-30.0,120,-2,18465.0,6,55.4,2024-06-10,2024-06-16,
pb2503                        ,18360.0,18415.0,18350.0,18415.0,-45.0,123,0,18370.0,5,45.93,2024-06-10,2024-06-16,
pb2505                        ,18290.0,18425.0,18290.0,18330.0,-100.0,81,5,18340.0,12,110.06,2024-06-10,2024-06-16,
ni2406                        ,140070.0,140870.0,138000.0,138750.0,-3300.0,7224,-132,139160.0,690,9602.04,2024-06-10,2024-06-16,
